start-year,registration-start-date,academic-year-start-date,automatic-assignment-period-end-date,payments-frozen-at,mentor-funding
2020,2020/05/10,2020/09/01,2021/03/31,,false
2021,2021/05/10,2021/09/01,2022/03/31,2024/04/03,false
2022,2022/05/10,2022/09/01,2023/03/31,,false
2023,2023/06/05,2023/09/01,2024/03/31,,false
2024,2024/04/03,2024/09/01,2025/03/31,,false
2025,2024/12/31,2025/09/01,2026/03/31,,true
