schedule-identifier,schedule-name,schedule-cohort-year,milestone-name,milestone-declaration-type,milestone-start-date,milestone-date,milestone-payment-date
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 1 - Participant Start,started,01/11/2021,25/12/2021,25/01/2022
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 2 – Retention Point 1,retained-1,26/12/2021,25/06/2022,25/07/2022
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 3 – Retention Point 2,retained-2,26/06/2022,25/11/2022,25/12/2022
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 4 – Participant Completion,completed,26/11/2022,25/08/2023,25/09/2023
,,,,,,
npq-leadership-spring,NPQ Leadership Spring,2021,Output 1 - Participant Start,started,01/01/2022,25/02/2022,25/03/2022
npq-leadership-spring,NPQ Leadership Spring,2021,Output 2 – Retention Point 1,retained-1,26/02/2022,25/09/2022,25/10/2022
npq-leadership-spring,NPQ Leadership Spring,2021,Output 3 – Retention Point 2,retained-2,26/09/2022,25/04/2023,25/05/2023
npq-leadership-spring,NPQ Leadership Spring,2021,Output 4 – Participant Completion,completed,26/04/2023,22/12/2023,25/01/2024
